iso,year,GHG_self
AUS,2012,618.6291026896164
AUS,2013,532.0588935692535
AUS,2014,542.7332487672038
AUS,2015,543.4116523071453
AUS,2016,518.3391192213466
AUS,2017,551.889606990496
AUS,2018,543.7742159203348
AUS,2019,528.1639834605157
AUS,2020,478.89305236482977
AUS,2021,474.90541001455557
AUS,2022,458.5484980244117
AUS,2023,442.191586920428
AUS,2024,425.834674930284
AUS,2025,409.4777638263003
AUS,2026,393.12085272231667
AUS,2027,376.7639407321727
AUS,2028,360.4070296281891
AUS,2029,344.05011763804515
AUS,2030,327.69320653406146
AUS,2031,312.0069760832594
AUS,2032,296.3207451893772
AUS,2033,280.6345147385751
AUS,2034,264.948283844693
AUS,2035,249.262053393891
AUS,2036,233.5758225000088
AUS,2037,217.88959204920667
AUS,2038,202.2033611553245
AUS,2039,186.51713070452246
AUS,2040,170.83089981064032
AUS,2041,155.14466935983825
AUS,2042,139.45843846595605
AUS,2043,123.77220801515402
AUS,2044,108.08597712127184
AUS,2045,92.3997466704698
AUS,2046,76.7135157765876
AUS,2047,61.02728532578556
AUS,2048,45.34105443190339
AUS,2049,29.654823981101334
AUS,2050,13.968593087219151
AUT,2010,92.59758216088393
AUT,2011,89.73846738297898
AUT,2012,86.52331039765998
AUT,2013,87.28719461270867
AUT,2014,83.58434478229718
AUT,2015,85.8349078331659
AUT,2016,86.40623312591703
AUT,2017,89.28306825529923
AUT,2018,86.45299670376077
AUT,2019,87.72251680904043
AUT,2020,79.42723124822528
AUT,2021,82.43051769332617
AUT,2022,79.41209435232066
AUT,2023,76.39367101131519
AUT,2024,73.37524871581985
AUT,2025,70.35682537481436
AUT,2026,67.33840307931904
AUT,2027,64.31997973831353
AUT,2028,61.301556397308055
AUT,2029,58.28313410181271
AUT,2030,55.264710760807226
AUT,2031,52.501518402335925
AUT,2032,49.738326043864625
AUT,2033,46.97513473090347
AUT,2034,44.21194237243217
AUT,2035,41.44875001396087
AUT,2036,38.685557655489575
AUT,2037,35.92236634252842
AUT,2038,33.15917398405711
AUT,2039,30.39598162558581
AUT,2040,27.632789267114514
AUT,2041,24.86959795415336
AUT,2042,22.10640559568206
AUT,2043,19.343213237210758
AUT,2044,16.580020878739457
AUT,2045,13.816828520268157
AUT,2046,11.053637207307004
AUT,2047,8.290444848835701
AUT,2048,5.527252490364401
AUT,2049,2.764060131893101
AUT,2050,8.688189319473062e-4
AZE,2010,33.34506822360584
AZE,2011,34.3356500273822
AZE,2012,35.73894438162689
AZE,2013,35.20191372277693
AZE,2014,36.7915278326964
AZE,2015,37.37969874231677
AZE,2016,37.24596122565204
AZE,2017,36.7554640209954
AZE,2018,38.35217330292908
AZE,2019,40.41641312933967
AZE,2020,37.07039194432772
AZE,2021,38.2795853204537
AZE,2022,38.64953128240586
AZE,2023,39.019477885526655
AZE,2024,39.38942448864746
AZE,2025,39.75937109176825
AZE,2026,40.129317694889046
AZE,2027,40.499264298009834
AZE,2028,40.86921090113063
AZE,2029,41.2391568630828
AZE,2030,41.60910346620359
BDI,2010,4.506207041293359
BDI,2011,4.76277051090555
BDI,2012,4.494753080528107
BDI,2013,5.17205877143537
BDI,2014,5.1560519222211845
BDI,2015,5.191312191156293
BDI,2016,5.591944805881032
BDI,2017,6.200992805432451
BDI,2018,6.350533856641709
BDI,2019,5.999302191577411
BDI,2020,5.829818457411397
BDI,2021,5.9879420081231585
BDI,2022,6.176998942640597
BDI,2023,6.366056814931147
BDI,2024,6.555113749448585
BDI,2025,6.744170683966025
BDI,2026,6.817627389443577
BDI,2027,6.89108409492113
BDI,2028,6.964540800398682
BDI,2029,7.037997505876235
BDI,2030,7.111454211353787
BEL,2010,141.38940448309745
BEL,2011,132.46354392843077
BEL,2012,127.53367367369123
BEL,2013,130.13167601544302
BEL,2014,126.34977384837605
BEL,2015,130.09309724512974
BEL,2016,127.62362062154233
BEL,2017,128.0440957388264
BEL,2018,132.97699144473734
BEL,2019,129.22725105656494
BEL,2020,115.05602449185325
BEL,2021,123.55750244998
BEL,2022,118.12271379566883
BEL,2023,112.68792514135762
BEL,2024,107.25313648704645
BEL,2025,101.81834783273526
BEL,2026,96.38355917842406
BEL,2027,90.94877052411287
BEL,2028,85.51398186980168
BEL,2029,80.0791922670732
BEL,2030,74.64440361276202
BEL,2031,70.91225067491013
BEL,2032,67.18009773705825
BEL,2033,63.44794479920638
BEL,2034,59.715791861354504
BEL,2035,55.98363987191992
BEL,2036,52.25148693406805
BEL,2037,48.51933399621617
BEL,2038,44.78718105836429
BEL,2039,41.05502812051241
BEL,2040,37.32287518266053
BEL,2041,33.59072224480866
BEL,2042,29.858569306956785
BEL,2043,26.126416369104902
BEL,2044,22.394263431253027
BEL,2045,18.66211049340115
BEL,2046,14.929957555549274
BEL,2047,11.197804617697395
BEL,2048,7.465651679845519
BEL,2049,3.733498741993641
BEL,2050,0.001345804141763723
BEN,2010,10.52362072261573
BEN,2011,10.619023271815255
BEN,2012,10.532144175943841
BEN,2013,11.227313326132373
BEN,2014,11.544462045080056
BEN,2015,12.305926380317134
BEN,2016,13.35966393207689
BEN,2017,14.016518357704292
BEN,2018,14.571795160435103
BEN,2019,15.196911120866654
BEN,2020,15.227057784862826
BEN,2021,16.014640003949044
BEN,2022,17.044664794873057
BEN,2023,18.074688590299136
BEN,2024,19.104712385725215
BEN,2025,20.134737176649228
BEN,2026,21.372539310283315
BEN,2027,22.610341443917402
BEN,2028,23.848143577551486
BEN,2029,25.08594670668351
BEN,2030,26.3237488403176
BFA,2010,23.019379769254098
BFA,2011,23.454373359437398
BFA,2012,24.163103652889973
BFA,2013,25.03948860660543
BFA,2014,25.56138651606544
BFA,2015,26.62981548618197
BFA,2016,27.983699739543148
BFA,2017,28.91395026740857
BFA,2018,29.120417593472528
BFA,2019,29.76064065467617
BFA,2020,30.529521017115606
BFA,2021,31.384687592168707
BFA,2022,33.796810674723574
BFA,2023,36.20893293641966
BFA,2024,38.62105601897453
BFA,2025,41.03317910152939
BFA,2026,43.67978624124517
BFA,2027,46.32639338096094
BFA,2028,48.97300052067671
BFA,2029,51.619607660392475
BFA,2030,54.26621480010825
BFA,2031,57.33618929664494
BFA,2032,60.40616379318165
BFA,2033,63.476138289718314
BFA,2034,66.54611278625502
BFA,2035,69.61608728279172
BFA,2036,72.68606177932841
BFA,2037,75.7560362758651
BFA,2038,78.8260107724018
BFA,2039,81.89598526893849
BFA,2040,84.96595976547519
BFA,2041,88.03593467244126
BFA,2042,91.10590875854855
BFA,2043,94.17588325508525
BFA,2044,97.24585775162193
BFA,2045,100.31583265858804
BFA,2046,103.38580674469533
BFA,2047,106.45578124123205
BFA,2048,109.52575573776872
BFA,2049,112.5957306447348
BFA,2050,115.66570514127149
BGD,2010,196.6447711965713
BGD,2011,201.30839334905588
BGD,2012,206.4160388798952
BGD,2013,208.73410862250333
BGD,2014,215.79713135542386
BGD,2015,225.51448910451552
BGD,2016,228.28072797657123
BGD,2017,236.9417925569852
BGD,2018,244.65171066208256
BGD,2019,256.1632944386515
BGD,2020,256.0741033607747
BGD,2021,270.7441816777535
BGD,2022,277.691490711391
BGD,2023,284.6388008286016
BGD,2024,291.5861098622391
BGD,2025,298.5334199794498
BGD,2026,310.2860738725607
BGD,2027,322.0387277656715
BGD,2028,333.7913816587825
BGD,2029,345.5440344683202
BGD,2030,357.2966883614311
BGR,2010,62.602025503725024
BGR,2011,69.43662338209363
BGR,2012,63.79085869541535
BGR,2013,59.71502355927385
BGR,2014,63.237062780808635
BGR,2015,66.8206778466855
BGR,2016,64.49631748541167
BGR,2017,68.91891348947112
BGR,2018,67.16931883721197
BGR,2019,66.52650606696139
BGR,2020,54.370076399772486
BGR,2021,65.30449743775863
BGR,2022,62.42636206374141
BGR,2023,59.5482266897242
BGR,2024,56.67009131570699
BGR,2025,53.79195594168978
BGR,2026,50.913820567672566
BGR,2027,48.035685193655354
BGR,2028,45.15754981963815
BGR,2029,42.279413400527766
BGR,2030,39.40127802651056
BGR,2031,37.43126799973782
BGR,2032,35.461257972965086
BGR,2033,33.49124794619234
BGR,2034,31.521237919419605
BGR,2035,29.551227892646867
BGR,2036,27.58121786587413
BGR,2037,25.611207839101393
BGR,2038,23.641197812328656
BGR,2039,21.67118778555592
BGR,2040,19.70117775878318
BGR,2041,17.731167732010444
BGR,2042,15.761157705237704
BGR,2043,13.791147678464966
BGR,2044,11.821137651692226
BGR,2045,9.851127624919489
BGR,2046,7.881116553053584
BGR,2047,5.911106526280847
BGR,2048,3.941096499508108
BGR,2049,1.9710864727353703
BGR,2050,0.0010764459626324968
BHR,2010,NA
BHR,2011,NA
BHR,2012,NA
BHR,2013,NA
BHR,2014,NA
BHR,2015,NA
BHR,2016,NA
BHR,2017,NA
BHR,2018,NA
BHR,2019,NA
BHR,2020,NA
BHR,2021,NA
BHS,2010,1.1670375610367245
BHS,2011,0.9374344507922673
BHS,2012,0.9847570229086736
BHS,2013,1.3921912242495607
BHS,2014,1.1736439502882545
BHS,2015,1.0388236260492703
BHS,2016,0.9411191751050896
BHS,2017,1.0174267758612254
BHS,2018,1.0415527588407216
BHS,2019,1.0756916609860507
BHS,2020,0.9701611733002707
BHS,2021,1.0677824570102155
BHS,2022,1.1002592619793399
BHS,2023,1.1327364827846353
BHS,2024,1.165213703589931
BHS,2025,1.1976905085590555
BHS,2026,1.2301677293643511
BHS,2027,1.2626445343334753
BHS,2028,1.295121755138771
BHS,2029,1.3275989759440667
BHS,2030,1.3600757809131911
BIH,2010,28.173849467208125
BIH,2011,31.10595958241259
BIH,2012,29.423301702880867
BIH,2013,29.062555957624745
BIH,2014,27.39665915652572
BIH,2015,26.740976622920165
BIH,2016,30.067508447558918
BIH,2017,30.35945040179947
BIH,2018,30.398773151651017
BIH,2019,30.350647137389146
BIH,2020,29.629354518752624
BIH,2021,25.826153258931896
BIH,2022,25.431980384258377
BIH,2023,25.037807509584862
BIH,2024,24.643634634911347
BIH,2025,24.24946176023783
BIH,2026,23.855289865228723
BIH,2027,23.461116990555208
BIH,2028,23.066944115881693
BIH,2029,22.672771241208174
