actor_uid,baseline_year,baseline_value,name,entity_type,iso,target_id_update,target_type,target_year,target_value,target_unit,Datasource_targets,baseline_unit,Datasource_baseline,total_emissions,emiss_year,Datasource_inventory,population,population_year,epc,country,region,target_term,climactor_id,GDAM_id
US Montana Region,2005,35900000,Montana,Region,USA,US Montana Region:NA:2050:GHG neutral(ity),GHG neutral(ity),2050,100,percent,NZT,tCO2e,NZT,26200000,2020,USEIA,1050493,2017,24.940670713655397,United States of America,North America,Long-term targets (>15 years),21edd8b2_2f90d39b,USA.27_1
US Nevada Region,2005,60362000,Nevada,Region,USA,US Nevada Region:2005:2025:28,Absolute emission reduction,2025,28,percent,NZT,tCO2e,NZT,36200000,2020,USEIA,3080156,2017,11.752651489080424,United States of America,North America,Short-term targets (within 5 years),d7197f07_50045747,USA.29_1
US Nevada Region,2005,60362000,Nevada,Region,USA,US Nevada Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,36200000,2020,USEIA,3080156,2017,11.752651489080424,United States of America,North America,Long-term targets (>15 years),d7197f07_50045747,USA.29_1
US New Jersey Region,2006,123100000,New Jersey,Region,USA,US New Jersey Region:2006:2030:50,Absolute emission reduction,2030,50,percent,USCA,tCO2e,USCA,83800000,2020,USEIA,9005644,2017,9.305275669346912,United States of America,North America,Medium-term targets (6-15 years),3c64e08d_a1b3de25,USA.31_1
US New Jersey Region,2006,123100000,New Jersey,Region,USA,US New Jersey Region:2006:2050:80,Absolute emission reduction,2050,80,percent,NZT,tCO2e,NZT,83800000,2020,USEIA,9005644,2017,9.305275669346912,United States of America,North America,Long-term targets (>15 years),3c64e08d_a1b3de25,USA.31_1
US New Mexico Region,2005,80900000,New Mexico,Region,USA,US New Mexico Region:2005:2030:45,Absolute emission reduction,2030,45,percent,NZT,tCO2e,NZT,45200000,2020,USEIA,2088070,2017,21.646783872188195,United States of America,North America,Medium-term targets (6-15 years),a451f157_a05c9d1b,USA.32_1
US New York Region,1990,409780000,New York,Region,USA,US New York Region:1990:2030:40,Absolute emission reduction,2030,40,percent,NZT,tCO2e,NZT,143400000,2020,USEIA,19453561,2018,7.371401050943835,United States of America,North America,Medium-term targets (6-15 years),16ede738_30b60bf5,USA.33_1
US New York Region,1990,409780000,New York,Region,USA,US New York Region:1990:2050:85,Absolute emission reduction,2050,85,percent,CDP states regions,tCO2e,CDP states regions,143400000,2020,USEIA,19453561,2018,7.371401050943835,United States of America,North America,Long-term targets (>15 years),16ede738_30b60bf5,USA.33_1
US New York Region,1990,409780000,New York,Region,USA,US New York Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,143400000,2020,USEIA,19453561,2018,7.371401050943835,United States of America,North America,Long-term targets (>15 years),16ede738_30b60bf5,USA.33_1
US North Carolina Region,2005,154200000,North Carolina,Region,USA,US North Carolina Region:2005:2025:40,Absolute emission reduction,2025,40,percent,NZT,tCO2e,USCA,106500000,2020,USEIA,10273419,2017,10.366558591643152,United States of America,North America,Short-term targets (within 5 years),1f3d9e27_427d519f,USA.34_1
US North Carolina Region,2005,154200000,North Carolina,Region,USA,US North Carolina Region:2005:2030:50,Absolute emission reduction,2030,50,percent,USCA,tCO2e,USCA,106500000,2020,USEIA,10273419,2017,10.366558591643152,United States of America,North America,Medium-term targets (6-15 years),1f3d9e27_427d519f,USA.34_1
US North Dakota Region,NA,NA,North Dakota,Region,USA,US North Dakota Region:NA:2030:Carbon neutral(ity),Carbon neutral(ity),2030,100,percent,NZT,tCO2e,NZT,54300000,2020,USEIA,762062,NA,71.25404494647417,United States of America,North America,Medium-term targets (6-15 years),c32fb990_f7cb4222,USA.35_1
US Oregon Region,1990,57741691,Oregon,Region,USA,US Oregon Region:1990:2034:45,Absolute emission reduction,2034,45,percent,USCA,tCO2e,CDP states regions,37500000,2020,USEIA,4216116,2019,8.894442183279587,United States of America,North America,Medium-term targets (6-15 years),dfd0cdfe_751f9e46,USA.38_1
US Oregon Region,1990,57741691,Oregon,Region,USA,US Oregon Region:1990:2050:80,Absolute emission reduction,2050,80,percent,NZT,tCO2e,CDP states regions,37500000,2020,USEIA,4216116,2019,8.894442183279587,United States of America,North America,Long-term targets (>15 years),dfd0cdfe_751f9e46,USA.38_1
US Pennsylvania Region,2005,300000000,Pennsylvania,Region,USA,US Pennsylvania Region:2005:2025:26,Absolute emission reduction,2025,26,percent,NZT,tCO2e,USCA,193200000,2020,USEIA,12805537,2017,15.08722359710491,United States of America,North America,Short-term targets (within 5 years),7d67c171_19a58577,USA.39_1
US Pennsylvania Region,2005,300000000,Pennsylvania,Region,USA,US Pennsylvania Region:2005:2050:80,Absolute emission reduction,2050,80,percent,NZT,tCO2e,USCA,193200000,2020,USEIA,12805537,2017,15.08722359710491,United States of America,North America,Long-term targets (>15 years),7d67c171_19a58577,USA.39_1
US Rhode Island Region,1990,12480000,Rhode Island,Region,USA,US Rhode Island Region:1990:2050:80,Absolute emission reduction,2050,80,percent,NZT,tCO2e,USCA,9800000,2020,USEIA,1059639,2018,9.248432720954966,United States of America,North America,Long-term targets (>15 years),307acd51_56cf7b4d,USA.40_1
US Utah Region,2005,67900000,Utah,Region,USA,US Utah Region:2005:2025:25,Absolute emission reduction,2025,25,percent,NZT,tCO2e,NZT,57400000,2020,USEIA,3271616,2020,17.544846338934644,United States of America,North America,Short-term targets (within 5 years),10da9b51_8cb7532d,USA.45_1
US Utah Region,2005,67900000,Utah,Region,USA,US Utah Region:2005:2050:80,Absolute emission reduction,2050,80,percent,NZT,tCO2e,NZT,57400000,2020,USEIA,3271616,2020,17.544846338934644,United States of America,North America,Long-term targets (>15 years),10da9b51_8cb7532d,USA.45_1
US Vermont Region,1990,5500000,Vermont,Region,USA,US Vermont Region:1990:2030:80,Absolute emission reduction,2030,80,percent,USCA,tCO2e,USCA,5400000,2020,USEIA,623657,2017,8.658605611738503,United States of America,North America,Medium-term targets (6-15 years),1a67bd7f_b99db17b,USA.46_1
US Vermont Region,2005,6800000,Vermont,Region,USA,US Vermont Region:2005:2025:26,Absolute emission reduction,2025,26,percent,USCA,tCO2e,USCA,5400000,2020,USEIA,623657,2017,8.658605611738503,United States of America,North America,Short-term targets (within 5 years),1a67bd7f_b99db17b,USA.46_1
US Virginia Region,2005,131100000,Virginia,Region,USA,US Virginia Region:NA:2045:0,Absolute emission reduction,2045,100,tCO2e,CDP states regions,tCO2e,CDP states regions,98200000,2020,USEIA,8501000,2018,11.551582166803906,United States of America,North America,Long-term targets (>15 years),c2324a9b_e712c77e,USA.47_1
US Washington Region,1990,90498300,Washington State,Region,USA,US Washington State Region:1990:2030:45,Absolute emission reduction,2030,45,percent,USCA,tCO2e,USCA,68400000,2020,USEIA,7740745,NA,8.83635877425235,United States of America,North America,Medium-term targets (6-15 years),060ca0a7_60a401b9,USA.48_1
US Washington Region,1990,90498300,Washington State,Region,USA,US Washington Region:NA:2050:Net zero,Net zero,2050,100,percent,NZT,tCO2e,NZT,68400000,2020,USEIA,7740745,NA,8.83635877425235,United States of America,North America,Long-term targets (>15 years),060ca0a7_60a401b9,USA.48_1
US Wisconsin Region,2005,110955633.2,Wisconsin,Region,USA,US Wisconsin Region:2005:2025:27,Absolute emission reduction,2025,27,percent,USCA,tCO2e,USCA,87000000,2020,USEIA,5893718,2020,14.761479935076636,United States of America,North America,Short-term targets (within 5 years),28a1ec65_596468d6,USA.50_1
